,Supplier,Recipient,No,Weapon,Description,Year,Year(s),Delivered,Comments
15522,Syria,     Lebanon Palestinian rebels*,30,T-55,Tank,1988,1988,30,Second-hand; aid
15523,Syria,     PLO (Israel)*,1,PzKpfw-IVF2,Tank,1977,1977,1,Second-hand
15526,Taiwan, Bolivia,10,T-6 Texan,Trainer aircraft,1979,1979,10,Second-hand; T-6G version; status uncertain
15527,Taiwan,     Burkina Faso,2,Bell-205/UH-1H,Helicopter,2017,2017,2,Second-hand; $8 m aid
15528,Taiwan,     Eswatini,2,Bell-205/UH-1H,Helicopter,2019,,,Second-hand; aid; delivery planned 2020
15529,Taiwan,     Gambia,4,Dvora,FAC,2009,2009,4,Second-hand; aid
15530,Taiwan,     Guatemala,2,Bell-205/UH-1H,Helicopter,1996,1996,2,Second-hand; aid
15532,Taiwan,     Honduras,4,Bell-205/UH-1H,Helicopter,2013,2015,4,Second-hand; $12 m aid
15533,Taiwan,     Panama,5,Bell-205/UH-1H,Helicopter,1997,1997,5,Second-hand; aid; for police
15536,Taiwan,     Paraguay,6,T-33A Shooting Star,Trainer aircraft,1990,1990,6,Second-hand; aid
15540,Taiwan,     Philippines,4,F-5A Freedom Fighter,FGA aircraft,1988,1989,4,Second-hand
15541,Taiwan,     South Vietnam,48,F-5A Freedom Fighter,FGA aircraft,1972,1972,48,Second-hand
15542,Taiwan,     Turkey,9,F-5A Freedom Fighter,FGA aircraft,1988,1989,9,Second-hand; incl 3 F-5B version
15543,Taiwan,     United States,2,RB-69A,Reconnaissance ac,1967,1967,2,Second-hand; modified after delivery to P-2H ASW aircraft
15546,Thailand, Pakistan,2,Jurrat,FAC,2002,2006,2,
15547,Thailand,     Malaysia,20,First Win,APC/APV,2015,2016-2017,20,Incl assembly in Malaysia; Malaysian designation AV4 Lipanbara
15548,Thailand,     Philippines,8,OV-10 Bronco,Ground attack ac,2003,2003-2004,8,Second-hand; aid; OV-10C version
15551,Turkey, Libya GNC,13,Navigator,APC,2019,2019,13,Possibly aid
15552,Turkey,     Indonesia,18,MMWT,Tank,2019,,,$135 m deal; produced in Indonesia; Indonesian designation Harimau; delivery planned by 2022
15553,Turkey,     Malaysia,89,Pars,APC,2011,2016-2019,89,Part of MYR7.6 b ($2.5 b) deal; AV8 version
15555,Turkey,     Pakistan,60,Panter 155mm,Towed gun,2009,2011-2013,60,
15558,Turkey,     UAE,400,Rabdan,IFV,2017,2018-2019,100,AED2.4 b deal; Incl 300 assembled/produced in UAE
15559,Turkey,     Afghanistan,24,M-114 155mm,Towed gun,2007,2007,24,Second-hand; aid
15560,Turkey,     Azerbaijan,1,AB-25,Patrol craft,2000,2000,1,Second-hand
15568,Turkey,     Bahrain,21,Akrep/Scorpion,APV,2004,2005,21,Designation uncertain (reported as 'armoured combat vehicle')
15573,Turkey,     Bangladesh,22,Cobra,APV,2006,2007-2008,22,
15576,Turkey,     Burkina Faso,60,Cobra,APV,2018,2018-2019,60,USD28.9 million deal
15577,Turkey,     Chad,20,Cobra,APV,2018,2018,20,Designation uncertain (reported as 'wheeled armoured personnel carrier')
15578,Turkey,     Colombia,38,HY1-12 120mm,Towed mortar,2008,2009,38,
15579,Turkey,     Egypt,3,MRTP-20,Patrol craft,2011,2011-2012,3,Delivery of 3 more probably stopped after 2013 coup
15580,Turkey,     Georgia,1,AB-25,Patrol craft,1998,1998,1,Second-hand; Georgian designation Kutaisi
15585,Turkey,     Ghana,30,Cobra,APV,2018,2018-2019,30,Cobra-1 and Cobra-2 version
15586,Turkey,     Iraq,573,Akrep/Scorpion,APV,2005,2005-2006,573,Part of $88 m deal
15587,Turkey,     Jordan,3,Model-4 Ugur,Trainer aircraft,1956,1956,3,Second-hand (but only 1 year old); aid
15589,Turkey,     Kazakhstan,1,AB-25,Patrol craft,1999,1999,1,Second-hand; aid
15593,Turkey,     Kosovo,10,Cobra,APV,2014,2014,10,Aid
15594,Turkey,     Kuwait,40,Ejder,APC,2015,2016,40,Designation uncertain (reported as 'wheeled armoured vehicle')
15595,Turkey,     Libya,3,C-122,Landing craft,1979,1980-1981,3,Libyan designation Al Idrisi
15596,Turkey,     Libya GNC,12,Bayraktar-2,Armed UAV,2019,2019,12,
15597,Turkey,     Macedonia,1,Cobra,APV,2016,2016,1,
15598,Turkey,     Malaysia,44,AIFV,IFV,2000,2002-2003,44,Part of $278-300 m deal; assembled from kits in Malaysia; ACV-300 version; Malaysian designation Adnan; option on more
15604,Turkey,     Maldives,3,Cobra,APV,1996,1997,3,
15605,Turkey,     Mauritania,18,Cobra,APV,2015,2015-2018,18,
15606,Turkey,     Montenegro,1,Cobra,APV,2015,2016,1,NBC reconnaissance version
15607,Turkey,     Nigeria,204,Cobra,APV,2007,2007-2008,204,
15608,Turkey,     Oman,27,Pars,APC,2015,2017-2019,27,Part of $500 m deal; Pars-3 version; incl several versions
15610,Turkey,     Pakistan,50,Shorland,APV,1994,1995-1996,50,Shorland S-55 version; incl for police
15617,Turkey,     Philippines,1,AIFV-APC,APC,2002,2004,1,ARV version
15619,Turkey,     Qatar,3,MRTP-33,Patrol craft,2012,2013-2014,3,MRTP-34 version
15627,Turkey,     Russia,1,Alican Deval,Cargo ship,2015,2015,1,Second-hand; bought for transport of military equipment to Syria; Russian designation Dvinitsa-50
15629,Turkey,     Rwanda,30,Cobra,APV,2011,2012,30,
15631,Turkey,     Saudi Arabia,98,Cobra,APV,2003,2004,98,Designation uncertain (reported as 'light armoured vehicle)
15639,Turkey,     Senegal,25,Ejder Yalcin,APC,2017,2018,25,
15640,Turkey,     Slovenia,10,Cobra,APV,2007,2009,10,CBRN version
15641,Turkey,     Syria rebels*,12,Commando V-150,APC,2017,2017,12,For Free Syrian Army Coalition; second-hand; aid
15642,Turkey,     Tunisia,100,Navigator,APC,2014,2014-2016,100,Kirpi version
15645,Turkey,     Turkmenistan,2,YTBK,Patrol craft,2011,2011-2012,2,EUR55 m deal
15650,Turkey,     UAE,136,AIFV-APC,APC,1997,1999-2000,136,"$75 m deal; for Dubai; ACV-350 version; incl 76 ALV and ACV-AFOV artillery fire control, 8 ARV and 52 ACV-ENG AEV version"
15656,Turkey,     Ukraine,12,Bayraktar-2,Armed UAV,2018,2019,6,$69 m deal; Bayraktar; TB2 version
15657,Turkey,     Uzbekistan,24,Ejder Yalcin,APC,2017,2018-2019,24,
15660,UAE, Lebanon,1,SA-330 Puma,Helicopter,2018,2018,1,Second-hand; IAR-330SM version; probably aid
15661,UAE,     Algeria,5,Yabhon Flash-20,UAV,2013,2018-2019,5,Possibly assembled/produced in Algeria as Algeria-55 or El Djazair-55
15663,UAE,     Egypt,2500,Panthera T6,APV,2013,2014-2019,1600,Incl assembly/production in Egypt; incl for police
15664,UAE,     Nigeria,10,Cougar,APV,2013,2014,10,Igirigi version
15665,UAE,     Algeria,200,Nimr Armored,APV,2012,2014-2018,200,Assembled in Algeria
15666,UAE,     Bahrain,2,L-42,Landing craft,2008,2010,2,Bahraini designation Dinar
15667,UAE,     Bosnia-Herzegovina,41,AML-60/90,Armoured car,1996,1997,41,Second-hand; 'Train and Equip Program' aid; AML-90 version
15670,UAE,     Cameroon,2,Panthera T6,APV,2017,2018,2,
15671,UAE,     Canada,2,C-130H Hercules,Transport aircraft,1986,1986,2,Second-hand; $21 m deal; bought via UK company; Canadian designation CC-130H
15672,UAE,     Congo,30,Cobra,APV,2014,2014,30,
15674,UAE,     Egypt,12,AT-802U,Ground attack ac,2014,2015-2016,12,Second-hand; aid for use against rebels in Sinai
15675,UAE,     Indonesia,5,DHC-5 Buffalo,Transport aircraft,1995,1995,5,Second-hand
15676,UAE,     Iraq,5,Bell-206/OH-58,Light helicopter,2004,2005,5,Second-hand; aid; Bell-206B version
15679,UAE,     Jordan,10,AS-350/AS-550 Fennec,Light helicopter,2005,2005,10,Second-hand but only few years old; AS-350B-3 version; for training
15684,UAE,     Kenya,8,AS-350/AS-550 Fennec,Light helicopter,2017,2018,8,Second-hand; aid; AS-550C3 version
15685,UAE,     Kuwait,2,ADSB 64m,Landing ship,2013,2017-2018,2,Kuwaiti designation Safar
15687,UAE,     Lebanon,9,SA-342 Gazelle,Light helicopter,2006,2007,9,Second-hand; aid
15689,UAE,     Liberia,1,DHC-4 Caribou,Transport aircraft,1989,1990,1,Second-hand (modernized in Malta before delivery)
15690,UAE,     Libya,750,Spartan,APC/APV,2012,2012-2013,750,Financed by UAE or USA
15692,UAE,     Libya GNC,8,Typhoon,APC,2015,2016,8,Supplier uncertain
15693,UAE,     Libya HoR,38,Typhoon,APC,2013,2014,38,Typhoon GSS-300 version
15696,UAE,     Mali,30,Cougar,APV,2019,,,Aid; delivery planned from 2020
15698,UAE,     Mauritania,2,CN-235,Transport aircraft,2018,2019,2,Second-hand; aid
15699,UAE,     Netherlands,8,L-118 105mm,Towed gun,1995,1995,8,Second-hand
15700,UAE,     Nigeria,10,Spartan,APC/APV,2013,2014,10,Spartan Mk-3 version
15703,UAE,     Oman,28,Saladin,Armoured car,1973,1974,28,Second-hand
15705,UAE,     Pakistan,4,SA-316B Alouette-3,Light helicopter,1987,1987,4,Second-hand; aid
15707,UAE,     Seychelles,2,Rodman-101,Patrol craft,2010,2011,2,Second-hand; aid against Somali pirates
15708,UAE,     Somalia,4,BN-2 Islander,Light transport ac,1983,1983,4,Second-hand; possibly incl some from Oman
15712,UAE,     South Sudan,88,Typhoon,APC,2012,2013-2014,88,Possibly for police
15714,UAE,     Sudan,30,Typhoon,APC,2012,2013,30,
15715,UAE,     Tanzania,1,Shorts-330,Transport aircraft,2006,2006,1,Second-hand
15716,UAE,     Tunisia,10,Typhoon,APC,2016,2016,10,
15717,UAE,     Turkmenistan,12,Nimr Armored,APV,2016,2016,12,
15718,UAE,     Ukraine,10,Cougar,APV,2015,2015,10,
15721,UAE,     United Nations**,36,Shrek,APC,2013,2014,36,Incl from Ukrainian production lines; incl AEV and ambulance version; for UN peacekeeping forces in Mali
15722,UAE,     Unknown recipient(s),10,Warrior,APC,2013,2014,10,Anti-tank version (with Shershen-DM system from Belarus and R-2 missiles from Ukraine); probably for North or East African country
15724,UAE,     Yemen,3,AT-802U,Ground attack ac,2015,2015,3,Second-hand (but barely used); aid
15732,Uganda, Israel,4,P-149D,Light aircraft,1968,1968,4,Ex-Ugandan
15733,Uganda,     South Sudan,2,L-39Z Albatros,Trainer/combat ac,2015,2016,2,Second-hand
15736,Ukraine, Algeria,7,AI-25,Turbofan,1995,1996,7,For 7 L-39 trainer aircraft from Czech Republic; Titan (AI-25TL) version from Czech production line
15739,Ukraine,     Bangladesh,32,AI-222,Turbofan,2013,2015-2016,32,For 16 Yak-130 trainer/combat aircraft from Russia
15740,Ukraine,     Senegal,2,Dozor-B,APV,2016,2017,2,Oncilla version from Polish production line
15741,Ukraine,     China,1,Fedko,Tanker,1992,1996,1,Designed and produced as civilian tanker but finished in China as naval tanker/supply ship; Chinese designation Fusu or Nanyun
15746,Ukraine,     Russia,150,AI-222,Turbofan,2006,2009-2014,150,For about 75 Yak-130 trainer/combat aircraft produced in Russia 2009-2016 (but engines all delivered to Russian producer of aircraft before Ukraine stopped exports to Russia in 2014; AI-222 from 2015 produced completely in Russia probably without Ukrainian agreement)
15749,Ukraine,     Thailand,4,BTR-3,APC,2019,,,BTR-3CS command post version; Thai designation ACPC-01; produced in Thailand; selected but probably not yet ordered by end-2019
15750,Ukraine,     UAE,24,BTR-3U Guardian,IFV,2002,2003,24,Assembled from kits in UAE (incl fitting of FRG engine and US transmission)
15751,Ukraine,     Afghanistan,4,An-32,Transport aircraft,2007,2008,4,Second-hand; $19 m deal (bought via and funded by USA); An-32B version
15752,Ukraine,     Algeria,28,Mi-24V/Mi-35,Combat helicopter,1997,1998-1999,28,Second-hand
15765,Ukraine,     Angola,2,Il-76M,Transport aircraft,1995,1996-1998,2,Second-hand
15772,Ukraine,     Armenia,2,L-39C Albatros,Trainer aircraft,2003,2004,2,Second-hand
15774,Ukraine,     Azerbaijan,150,T-55,Tank,1993,1993-1994,150,Second-hand
15796,Ukraine,     Bangladesh,8,AI-25,Turbofan,1995,1995,8,For 8 L-39ZA trainer/combat aircraft from Czech Republic; Titan (AI-25TL) version assembled/produced in Czech Republic
15803,Ukraine,     Belarus,10,L-39C Albatros,Trainer aircraft,2005,2005-2006,10,Second-hand but probably modernized before delivery
15806,Ukraine,     Bolivia,6,AI-25,Turbofan,2009,2011,6,For 6 K-8 trainer/combat aircraft from China
15807,Ukraine,     Botswana,100,Strela-3/SA-14,Portable SAM,2012,2012,100,
15808,Ukraine,     Burkina Faso,10,Strela-3/SA-14,Portable SAM,1998,1999,10,Second-hand; designation uncertain (reported as 'SAM'); possibly delivered to Liberia via Burkina Faso
15809,Ukraine,     Burundi,10,BTR-80,APC,2001,2001,10,Second-hand
15811,Ukraine,     Cambodia,4,Mi-8MT/Mi-17,Transport helicopter,1994,1994,4,Second-hand; probably incl 2 Mi-8 and 2 Mi-17 version
15817,Ukraine,     Central African Republic,2,Mi-24V/Mi-35,Combat helicopter,2011,2011,2,Second-hand
15818,Ukraine,     Chad,2,Mi-24V/Mi-35,Combat helicopter,2000,2001,2,Second-hand; flown by Ukrainian pilots
15831,Ukraine,     China,250,R-27/AA-10,BVRAAM,1991,1992-1994,250,For Su-27SK combat aircraft; R-27R-1 and probably R-27ER version
15843,Ukraine,     Comoros,2,Mi-14PS,Transport helicopter,2007,2008,2,Second-hand; Mi-14PZh version
15844,Ukraine,     Congo,6,Mi-8T,Transport helicopter,1996,1997,6,Second-hand; operated by mercenaries against rebels
15846,Ukraine,     Cote d'Ivoire,1,BMP-2,IFV,2003,2003,1,Second-hand
15847,Ukraine,     Croatia,1,MiG-21bis,Fighter aircraft,2013,2014,1,Second-hand; part of HRK133 m ($23 m) deal incl also overhaul of 7 Croatian MiG-21 in Ukraine; 4 more delivered but found unfit for use
15848,Ukraine,     Cyprus,6,VK-2500,Turboshaft,2004,2006,6,For 3 Mi-17 helicopters from Russia
15849,Ukraine,     Czechia,40,9M114 Shturm/AT-6,Anti-tank missile,1998,1999-2000,40,Second-hand; part of $1.8 m deal for 80 AT-6 missiles from Ukraine and Bulgaria
15851,Ukraine,     DR Congo,1,Mi-24P/Mi-35P,Combat helicopter,1996,1996,1,Second-hand
15869,Ukraine,     Ecuador,50,9M33/SA-8,SAM,1997,2001,50,Second-hand
15871,Ukraine,     Egypt,3,An-74,Transport aircraft,2004,2005-2010,3,$34 m deal; An-74TK-200A version; incl for VIP transport
15872,Ukraine,     Equatorial Guinea,2,Mi-24V/Mi-35,Combat helicopter,2001,2001,2,Second-hand
15885,Ukraine,     Eritrea,1,P-14/Tall King,Air search radar,1999,1999,1,Second-hand; illegal export
15889,Ukraine,     Estonia,2,L-39C Albatros,Trainer aircraft,2013,2013,2,Second-hand; leased via Latvian company
15890,Ukraine,     Ethiopia,4,AI-25,Turbofan,1997,1997-1998,4,For L-39C trainer aircraft from Czech Republic; Titan (AI-25TL) version produced in Czech Republic
15896,Ukraine,     Georgia,10,L-29 Delfin,Trainer aircraft,1997,1997,10,Second-hand
15919,Ukraine,     Greece,1,Zubr/Pomornik,ACV/landing craft,2000,2001,1,Greek designation Kefallinia
15920,Ukraine,     Guinea,4,BRDM-2,Reconnaissance AV,1998,1998,4,Second-hand
15924,Ukraine,     Hungary,1,An-26,Transport aircraft,2004,2004,1,Probably second-hand
15925,Ukraine,     India,12,DT-59,Gas turbine,1986,1997-2001,12,For 3 Delhi destroyers produced in India; probably ordered from Soviet Union and delivered by Ukraine after break-up of Soviet Union
15943,Ukraine,     Indonesia,3,BREM-2,ARV,1996,1997,3,Second-hand
15949,Ukraine,     Iran,10,S-200/SA-5,SAM,1992,1993,10,Second-hand
15952,Ukraine,     Iraq,13,BRDM-2,Reconnaissance AV,2005,2006,13,Second-hand; aid
15963,Ukraine,     Jordan,50,BTR-94,IFV,1999,1999-2000,50,$6.5 m deal
15965,Ukraine,     Kazakhstan,3,Kh-29/AS-14 Kedge,ASM,1999,1999,3,Second-hand
15974,Ukraine,     Kenya,33,T-72M1,Tank,2007,2009,33,Second-hand (possibly ordered by South Sudan but taken over by Kenya after held ransom in 2008 by Somali pirates while being delivered by ship from Ukraine to Kenya)
15975,Ukraine,     Laos,1,An-74,Transport aircraft,1998,1999,1,Possibly only for government VIP transport
15977,Ukraine,     Macedonia,12,Mi-24V/Mi-35,Combat helicopter,2000,2001,12,Second-hand; incl 2 Mi-24K; for use against NLA rebels
15986,Ukraine,     Malaysia,131,R-27/AA-10,BVRAAM,1994,1995,131,For MiG-29N combat aircraft
15987,Ukraine,     Mali,10,BTR-60PB,APC,2011,2012,10,Second-hand but possibly modernized before delivery; sold and/or delivered via Bulgaria
15989,Ukraine,     Mexico,4,An-32,Transport aircraft,1996,1997-1999,4,Supplier uncertain; no. could be 5
15991,Ukraine,     Morocco,54,6TD,Diesel engine,2009,2010,54,For 54 Type-90-2 tanks from China
15992,Ukraine,     Mozambique,2,An-26,Transport aircraft,2013,2014,2,Second-hand; An-26B-100 version
15993,Ukraine,     Myanmar,12,AI-25,Turbofan,1997,1999,12,For 12 K-8 trainer/combat aircraft from China
16001,Ukraine,     Namibia,4,AI-25,Turbofan,2000,2001,4,For 4 K-8 trainer aircraft from China
16003,Ukraine,     NATO**,1,An-124,Transport aircraft,2006,2006,1,"Second-hand; 'SALIS' deal; lease until end-2018 (EUR38 m for first year; leased via Russian company; interim solution until delivery of A-400); for use by 14 NATO countries, Finland and Sweden"
16004,Ukraine,     Nepal,2,Mi-8MT/Mi-17,Transport helicopter,2002,2002,2,Second-hand
16005,Ukraine,     Niger,2,Su-25,Ground attack ac,2012,2013,2,Second-hand
16006,Ukraine,     Nigeria,7,BTR-3,APC,2005,2007,7,
16015,Ukraine,     Pakistan,320,T-80U,Tank,1996,1997-1999,320,$580-650 m deal; incl 50 second-hand (but probably not much used); T-80UD version
16022,Ukraine,     Peru,5,An-32,Transport aircraft,1993,1994,5,
16024,Ukraine,     Poland,40,R-27/AA-10,BVRAAM,2016,2016,40,PLN128 m [$32 m) deal; R-27R1 version; for MiG-29 combat aircraft
16025,Ukraine,     Qatar,,R-2,Anti-tank missile,2017,2017-2019,600,For Ejder Yalcin APC from Turkey
16026,Ukraine,     RUF (Sierra Leone)*,5,9M115 Metis/AT-7,Anti-tank missile,1999,1999,5,Second-hand; officially delivered to Burkina Faso but from there illegally transferred to RUF
16028,Ukraine,     Russia,4,DT-59,Gas turbine,2005,2012-2013,4,For 2 Project-22350 (Gorshkov) frigates produced in Russia (engines all delivered to Russian producer of ships before Ukraine stopped exports to Russia in 2014; ships planned to be finished 2018-2019)
16032,Ukraine,     Rwanda,5,BAU-23x2,IFV turret,2012,2013,5,For modernization of Ratel IFV (or possibly for Ratel-23 IFV from unknown supplier)
16033,Ukraine,     Saudi Arabia,,Grom-2,SSM,2016,,,
16034,Ukraine,     Senegal,6,BM-21 Grad 122mm,Self-propelled MRL,2016,2017,6,Second-hand but modernized before delivery
16035,Ukraine,     Serbia,2,Mi-24V/Mi-35,Combat helicopter,1997,1997,2,Second-hand; for police special forces
16038,Ukraine,     Sierra Leone,2,Mi-8MT/Mi-17,Transport helicopter,1994,1994,2,Second-hand
16042,Ukraine,     Slovakia,6,BMP-2,IFV,1994,1995,6,
16048,Ukraine,     South Africa,1,Juvent,Supply ship,1992,1992,1,SAR41 m ($14 m) deal; South African designation Outeniqua; for use as Arctic supply ship
16049,Ukraine,     South Sudan,11,BM-21 Grad 122mm,Self-propelled MRL,2006,2007-2009,11,Second-hand; last 6 temporary held ransom in 2008 by Somali pirates while being delivered by ship from Ukraine to Kenya; originally claimed to be for Kenya
16051,Ukraine,     Sri Lanka,12,BMP-1,IFV,1994,1994,12,Second-hand; incl 1 without armament
16066,Ukraine,     Sudan,6,BMP-2,IFV,1995,1996,6,Probably second-hand
16080,Ukraine,     Tanzania,6,AI-25,Turbofan,2010,2011-2012,6,For 6 K-8 trainer aircraft from China
16081,Ukraine,     Thailand,36,AI-25,Turbofan,1992,1993-1994,36,For 36 L-39ZE trainer/combat aircraft from Czech Republic; Titan (AI-25TL) version produced in Czech Republic
16092,Ukraine,     Turkmenistan,3,Kolchuga,Air search system,2003,2003-2004,3,Paid with natural gas
16101,Ukraine,     Uganda,2,BTS,ARV,1994,1995,2,Second-hand; BTS-4 version
16110,Ukraine,     United States,1,Vaslayayev,Cargo ship,1997,2003,1,Second-hand; US designation Roy M. Wheat; for use with Maritime Preprosition Force (MPF)
16112,Ukraine,     Unknown recipient(s),200,R-2,Anti-tank missile,2013,2014,200,For Warrior APC from UAE (with Shershen-DM anti-tank missile system from Belarus); probably for North or East African country
16113,Ukraine,     Venezuela,18,AI-25,Turbofan,2008,2010,18,For 18 K-8 trainer aircraft from China
16117,Ukraine,     Viet Nam,4,DR-76,Gas turbine,1994,1996,4,For 2 Project-1241 (Tarantul) FAC from Russia
16130,Ukraine,     Yemen,4,Su-22,FGA aircraft,1994,1995,4,Second-hand; illegal sale
16137,Ukraine,     Zambia,8,AI-25,Turbofan,1998,2000,8,For 8 K-8 trainer aircraft from China
16141,Ukraine,     Zimbabwe,1,An-12,Transport aircraft,2000,2001,1,Second-hand
16146,United Kingdom, Angola,20,BN-2 Islander,Light transport ac,1978,1979-1982,20,BN-2A version; from Romanian production line
16147,United Kingdom,     Greece,40,M-3 Stuart,Light tank,1949,1950-1951,40,Second-hand; probably aid
16148,United Kingdom,     Kenya,6,DHC-1 Chipmunk,Trainer aircraft,1964,1964,6,Second-hand; probably aid
16149,United Kingdom,     Mujahedin (Afghanistan)*,50,Blowpipe,Portable SAM,1986,1986,50,Second-hand; financed by USA; delivered via Pakistan
16151,United Kingdom,     South Yemen,4,DC-3/C-47 Skytrain,Transport aircraft,1967,1967,4,Second-hand; probably aid
16153,United Kingdom,     Algeria,6,Kebir,Patrol craft,1981,1982-1985,6,In 4 assembled/produced in Algeria; Algerian designation El Yadekh
16156,United Kingdom,     Argentina,2,Sheffield,Destroyer,1970,1976-1981,2,Incl 1 produced in Argentina (delivery of last delayed from 1975 to 1981 after sabotage); Argentinian designation Hercules
16157,United Kingdom,     Australia,2,Battle,Destroyer,1945,1950-1951,2,Battle Batch-3 version; Australian designation Tobruk; 2 more cancelled
16171,United Kingdom,     Belgium,37,Meteor,Fighter aircraft,1949,1953-1954,37,Meteor F-8 version; incl production in Belgium
16179,United Kingdom,     Brazil,4,Acre,Destroyer,1940,1951,4,Produced in Brazil
16181,United Kingdom,     Canada,384,Nene,Turbojet,1947,1950-1953,384,For 384 T-33A (CT-33) trainer aircraft from USA
16183,United Kingdom,     China,,Spey,Turbofan,1975,1998-2019,510,Produced in China as WS-9 and WS-9A; for JH-7 combat aircraft produced in China
16184,United Kingdom,     Denmark,6,Soloven,FAC,1960,1965-1967,6,4 produced in Denmark
16187,United Kingdom,     Egypt,9000,Swingfire,Anti-tank missile,1977,1979-1993,9000,Most assembled/produced in Egypt; for use with Beeswing system
16188,United Kingdom,     Finland,50,Hawk-50,Trainer/combat ac,1977,1980-1985,50,Incl production of components and assembly of 46 in Finland; Hawk Mk-51 version
16189,United Kingdom,     France,433,Vampire FB-5,Fighter aircraft,1949,1951-1953,433,French designation Mistral; produced in France
16197,United Kingdom,     Germany,40,Tyne,Turboprop,1963,1965-1969,40,For 20 Atlantic ASW aircraft from France
16199,United Kingdom,     Greece,3,Super Vita,FAC,2000,2005-2006,3,EUR440-580 m deal; Greek designation Roussen
16202,United Kingdom,     India,333,Vampire FB-5,Fighter aircraft,1950,1950-1959,333,Incl 281 produced in India; Vampire FB-52 version
16227,United Kingdom,     Italy,85,Vampire FB-5,Fighter aircraft,1949,1950-1953,85,Incl 80 assembled/produced in Italy; Vampire FB-52 version
16236,United Kingdom,     Japan,426,Adour,Turbofan,1967,1974-1992,426,Adour-801A version for 167 F-1 combat aircraft and T-2 trainer/combat aircraft produced in Japan (incl spares); Japanese designation TF40-IHI-801A
16246,United Kingdom,     Malaysia,10,Hawk-100,Trainer/combat ac,1990,1994,10,Part of $740 m deal (offsets 20% incl production of components); Hawk-108 version
16250,United Kingdom,     Mexico,31,Azteca,Patrol craft,1973,1974-1982,31,Incl 10 produced in Mexico
16251,United Kingdom,     Netherlands,190,Meteor,Fighter aircraft,1949,1950-1954,190,Incl 165 Meteor F-8 and 25 Meteor T-7 trainer versions; incl production in Netherlands
16256,United Kingdom,     Oman,88,Piranha,APC,2000,2001-2003,88,"Incl production of some components in Oman; incl ARV, CP, 81mm mortar carrier, ambulance, artillery observation version"
16257,United Kingdom,     Philippines,31,BN-2 Islander,Light transport ac,1974,1975-1982,31,Incl 26 assembled in Philippines and some from Belgian production line; incl 2 for police
16259,United Kingdom,     Poland,120,AS-90M turret,SPG turret,2008,2012-2019,56,For 120 Krab self-propelled guns produced in Poland for delivery by 2024
16260,United Kingdom,     Portugal,76,DHC-1 Chipmunk,Trainer aircraft,1954,1955-1960,76,Incl 66 assembled/produced in Portugal; Chipmunk T-20 version
16263,United Kingdom,     Romania,4,BN-2 Islander,Light transport ac,1968,1976-1978,4,
16267,United Kingdom,     Saudi Arabia,50,MSTAR,Ground surv radar,1997,1998-2000,50,Assembled from kits in Saudi Arabia
16268,United Kingdom,     Singapore,1,Ford,Patrol craft,1955,1956,1,"Originally built for Singapore Government 1956, transferred to Malaysian Federation 1963 and transferred to Singapore 1967; assembled/produced in Singapore; Singaporean designation Panglima"
16271,United Kingdom,     South Africa,12,Hawk-100,Trainer/combat ac,1999,2006,12,Part of $1.2 b deal (offsets $8.7 b incl $1.5 b for arms industry incl assembly from kits of 11 in South Africa); Hawk-100LIFT/Hawk-120 version
16273,United Kingdom,     South Korea,500,Javelin,Portable SAM,1986,1987-1988,500,$30 m deal (incl production of components in in South Korea)
16274,United Kingdom,     Spain,4,Sandown,Minehunter,1992,1999-2000,4,$381 m deal; Spanish designation Segura
16277,United Kingdom,     Sweden,661,Ghost,Turbojet,1946,1950-1956,661,For J-29 combat aircraft produced in Sweden; Swedish designation RM-2
16284,United Kingdom,     Switzerland,143,Vampire FB-5,Fighter aircraft,1948,1950-1952,143,Incl 100 Vampire FB-6 version produced in Switzerland
16290,United Kingdom,     Thailand,3,Khamronsin,Corvette,1987,1992,3,
16294,United Kingdom,     Turkey,750,Rapier-1,SAM,1985,1986-1988,750,
16297,United Kingdom,     United States,600,Nene,Turbojet,1947,1950-1951,600,For F-9F combat aircraft produced in USA; US designation J-42; more delivered before 1950
16321,United Kingdom,     Yugoslavia,23,S-55,Helicopter,1959,1960-1966,23,Whirlwind HAR-5 version; most assembled/produced in Yugoslavia
16326,United Kingdom,     Afghanistan,2,Mi-8MT/Mi-17,Transport helicopter,2009,2010,2,Second-hand Mi-17 version bought by UK for 'Project Curium' training of Afghan pilots in UK and donated to Afghanistan after end of programme
16327,United Kingdom,     Algeria,12,Dart,Turboprop,1974,1976,12,For 6 F-27 transport aircraft from Netherlands
16333,United Kingdom,     Angola,1,F-27 Friendship,Transport aircraft,1979,1979,1,Second-hand; FH-227 version
16335,United Kingdom,     Argentina,1,Colossus,Aircraft carrier,1958,1959,1,Second-hand; Argentine designation Independencia
16357,United Kingdom,     Australia,1,Mod. Majestic,Aircraft carrier,1949,1955,1,"AUP8.3 m deal; originally ordered for UK in WW-2, but cancelled and completed for Australia; Australian designation Melbourne"
16409,United Kingdom,     Austria,56,Charioteer,Tank,1956,1956,56,Second-hand
16416,United Kingdom,     Bahamas,2,Vosper-103,Patrol craft,1977,1978,2,Part of GBP5 m deal; for police
16418,United Kingdom,     Bahrain,2,Scout,Light helicopter,1964,1965-1966,2,For police
16431,United Kingdom,     Bangladesh,2,Wessex,Helicopter,1973,1973,2,Second-hand; aid; Wessex HU-5 version
